Distance,S,SW,W,NW,N,NE,E,SE,Car_Dir,Fire_Dir_X,Fire_Dir_Y,Output
131.9992,1,1,1,1,1,1,1,1,0.9896967,-33.74579,-127.6127,UpArrow
131.8148,1,1,1,1,1,1,1,1,0.9896967,-33.69352,-127.4359,UpArrow
131.8148,1,1,1,1,1,1,1,1,0.9896967,-33.69352,-127.4359,UpArrow
131.6692,1,1,1,1,1,1,1,1,0.9896967,-33.65221,-127.2961,UpArrow
131.6692,1,1,1,1,1,1,1,1,0.9896967,-33.65221,-127.2961,UpArrow
131.5037,1,1,1,1,1,1,1,1,0.9896967,-33.6053,-127.1374,UpArrow
131.5037,1,1,1,1,1,1,1,1,0.9896967,-33.6053,-127.1374,UpArrow
131.368,1,1,1,1,1,1,1,1,0.9896967,-33.56683,-127.0072,UpArrow
131.368,1,1,1,1,1,1,1,1,0.9896967,-33.56683,-127.0072,UpArrow
131.1883,1,1,1,1,1,1,1,1,0.9896967,-33.51588,-126.8348,UpArrow
131.1883,1,1,1,1,1,1,1,1,0.9896967,-33.51588,-126.8348,UpArrow
131.0464,1,1,1,1,1,1,1,1,0.9896967,-33.47565,-126.6986,UpArrow
131.0464,1,1,1,1,1,1,1,1,0.9896967,-33.47565,-126.6986,UpArrow
130.9112,1,1,1,1,1,1,1,1,0.9896967,-33.43732,-126.5689,UpArrow
130.9112,1,1,1,1,1,1,1,1,0.9896967,-33.43732,-126.5689,UpArrow
130.633,1,1,1,1,1,1,1,1,0.9896967,-33.35843,-126.302,UpArrow
130.633,1,1,1,1,1,1,1,1,0.9896967,-33.35843,-126.302,UpArrow
130.4801,1,1,1,1,1,1,1,1,0.9896967,-33.31509,-126.1553,UpArrow
130.4801,1,1,1,1,1,1,1,1,0.9896967,-33.31509,-126.1553,UpArrow
130.3061,1,1,1,1,1,1,1,1,0.9896967,-33.26574,-125.9883,UpArrow
130.3061,1,1,1,1,1,1,1,1,0.9896967,-33.26574,-125.9883,UpArrow
130.1563,1,1,1,1,1,1,1,1,0.9896967,-33.22327,-125.8446,UpArrow
129.9739,1,1,1,1,1,1,1,1,0.9896967,-33.17156,-125.6696,UpArrow
129.9739,1,1,1,1,1,1,1,1,0.9896967,-33.17156,-125.6696,UpArrow
129.8342,1,1,1,1,1,1,1,1,0.9896967,-33.13196,-125.5356,UpArrow
129.8342,1,1,1,1,1,1,1,1,0.9896967,-33.13196,-125.5356,UpArrow
129.6996,1,1,1,1,1,1,1,1,0.9896967,-33.0938,-125.4065,UpArrow
129.5222,1,1,1,1,1,1,1,1,0.9896967,-33.04351,-125.2363,UpArrow
129.5222,1,1,1,1,1,1,1,1,0.9896967,-33.04351,-125.2363,UpArrow
129.3485,1,1,1,1,1,1,1,1,0.9896967,-32.99425,-125.0696,UpArrow
129.3485,1,1,1,1,1,1,1,1,0.9896967,-32.99425,-125.0696,UpArrow
129.2128,1,1,1,1,1,1,1,1,0.9896967,-32.95576,-124.9394,UpArrow
129.2128,1,1,1,1,1,1,1,1,0.9896967,-32.95576,-124.9394,UpArrow
129.0337,1,1,1,1,1,1,1,1,0.9896967,-32.90499,-124.7676,UpArrow
129.0337,1,1,1,1,1,1,1,1,0.9896967,-32.90499,-124.7676,UpArrow
128.8895,1,1,1,1,1,1,1,1,0.9896967,-32.86409,-124.6292,UpArrow
128.7616,1,1,1,1,1,1,1,1,0.9896967,-32.82784,-124.5065,UpArrow
128.304,1,1,1,1,1,1,1,1,0.9896967,-32.69808,-124.0675,UpArrow
127.616,1,1,1,1,1,1,1,1,0.9896967,-32.50302,-123.4074,UpArrow
127.0803,1,1,1,1,1,1,1,1,0.9896967,-32.35114,-122.8935,UpArrow
126.7424,1,1,1,1,1,1,1,1,0.9896967,-32.25534,-122.5693,UpArrow
126.4934,1,1,1,1,1,1,1,1,0.9896967,-32.18472,-122.3303,UpArrow
126.4934,1,1,1,1,1,1,1,1,0.9896967,-32.18472,-122.3303,UpArrow
126.3536,1,1,1,1,1,1,1,1,0.9896967,-32.14509,-122.1962,UpArrow
126.3536,1,1,1,1,1,1,1,1,0.9896967,-32.14509,-122.1962,UpArrow
126.1771,1,1,1,1,1,1,1,1,0.9896967,-32.09506,-122.027,UpArrow
126.1771,1,1,1,1,1,1,1,1,0.9896967,-32.09506,-122.027,UpArrow
126.035,1,1,1,1,1,1,1,1,0.9896967,-32.05476,-121.8906,UpArrow
126.035,1,1,1,1,1,1,1,1,0.9896967,-32.05476,-121.8906,UpArrow
125.9034,1,1,1,1,1,1,1,1,0.9896967,-32.01743,-121.7643,UpArrow
125.7791,1,1,1,1,1,1,1,1,0.9896967,-31.9822,-121.6451,UpArrow
125.7791,1,1,1,1,1,1,1,1,0.9896967,-31.9822,-121.6451,UpArrow
125.7791,1,1,1,1,1,1,1,1,0.9896967,-31.9822,-121.6451,UpArrow
125.6414,1,1,1,1,1,1,1,1,0.9896967,-31.94315,-121.5129,UpArrow
125.6414,1,1,1,1,1,1,1,1,0.9896967,-31.94315,-121.5129,UpArrow
125.4649,1,1,1,1,1,1,1,1,0.9896967,-31.89312,-121.3436,UpArrow
125.4649,1,1,1,1,1,1,1,1,0.9896967,-31.89312,-121.3436,UpArrow
125.3202,1,1,1,1,1,1,1,1,0.9896967,-31.85209,-121.2048,UpArrow
125.3202,1,1,1,1,1,1,1,1,0.9896967,-31.85209,-121.2048,UpArrow
125.1444,1,1,1,1,1,1,1,1,0.9896967,-31.80224,-121.0361,UpArrow
125.0152,1,1,1,1,1,1,1,1,0.9896967,-31.7656,-120.9121,UpArrow
124.6076,1,1,1,1,1,1,1,1,0.9896967,-31.65002,-120.521,UpArrow
124.6076,1,1,1,1,1,1,1,1,0.9896967,-31.65002,-120.521,UpArrow
124.4642,1,1,1,1,1,1,1,1,0.9896967,-31.60938,-120.3835,UpArrow
124.4642,1,1,1,1,1,1,1,1,0.9896967,-31.60938,-120.3835,UpArrow
124.3217,1,1,1,1,1,1,1,1,0.9896967,-31.56897,-120.2468,UpArrow
124.0294,1,1,1,1,1,1,1,1,0.9896967,-31.48608,-119.9663,UpArrow
122.504,1,1,1,1,1,1,1,1,0.9896967,-31.05358,-118.5028,UpArrow
122.203,1,1,1,1,1,1,1,1,0.9896967,-30.96822,-118.214,UpArrow
122.203,1,1,1,1,1,1,1,1,0.9896967,-30.96822,-118.214,UpArrow
122.0705,1,1,1,1,1,1,1,1,0.9896967,-30.93067,-118.0869,UpArrow
122.0705,1,1,1,1,1,1,1,1,0.9896967,-30.93067,-118.0869,UpArrow
121.9248,1,1,1,1,1,1,1,1,0.9896967,-30.88932,-117.947,UpArrow
121.9248,1,1,1,1,1,1,1,1,0.9896967,-30.88932,-117.947,UpArrow
121.7732,1,1,1,1,1,1,1,1,0.9896967,-30.84635,-117.8016,UpArrow
121.7732,1,1,1,1,1,1,1,1,0.9896967,-30.84635,-117.8016,UpArrow
121.5983,1,1,1,1,1,1,1,1,0.9896967,-30.79676,-117.6338,UpArrow
121.3094,1,1,1,1,1,1,1,1,0.9896967,-30.71484,-117.3566,UpArrow
121.3094,1,1,1,1,1,1,1,1,0.9896967,-30.71484,-117.3566,UpArrow
121.1694,1,1,1,1,1,1,1,1,0.9896967,-30.67514,-117.2222,UpArrow
121.0394,1,1,1,1,1,1,1,1,0.9896967,-30.63828,-117.0975,UpArrow
121.0394,1,1,1,1,1,1,1,1,0.9896967,-30.63828,-117.0975,UpArrow
120.8327,1,1,1,1,1,1,1,1,0.9896967,-30.57967,-116.8992,UpArrow
120.8327,1,1,1,1,1,1,1,1,0.9896967,-30.57967,-116.8992,UpArrow
120.696,1,1,1,1,1,1,1,1,0.9896967,-30.54092,-116.7681,UpArrow
120.696,1,1,1,1,1,1,1,1,0.9896967,-30.54092,-116.7681,UpArrow
120.5616,1,1,1,1,1,1,1,1,0.9896967,-30.5028,-116.6391,UpArrow
120.5616,1,1,1,1,1,1,1,1,0.9896967,-30.5028,-116.6391,UpArrow
120.4214,1,1,1,1,1,1,1,1,0.9896967,-30.46304,-116.5046,UpArrow
120.4214,1,1,1,1,1,1,1,1,0.9896967,-30.46304,-116.5046,UpArrow
120.2563,1,1,1,1,1,1,1,1,0.9896967,-30.41625,-116.3462,UpArrow
120.2563,1,1,1,1,1,1,1,1,0.9896967,-30.41625,-116.3462,UpArrow
120.1017,1,1,1,1,1,1,1,1,0.9896967,-30.37239,-116.1978,UpArrow
120.1017,1,1,1,1,1,1,1,1,0.9896967,-30.37239,-116.1978,UpArrow
119.9317,1,1,1,1,1,1,1,1,0.9896967,-30.3242,-116.0347,UpArrow
119.9317,1,1,1,1,1,1,1,1,0.9896967,-30.3242,-116.0347,UpArrow
119.7831,1,1,1,1,1,1,1,1,0.9896967,-30.28205,-115.8921,UpArrow
119.7831,1,1,1,1,1,1,1,1,0.9896967,-30.28205,-115.8921,UpArrow
119.6091,1,1,1,1,1,1,1,1,0.9896967,-30.23271,-115.7252,UpArrow
119.6091,1,1,1,1,1,1,1,1,0.9896967,-30.23271,-115.7252,UpArrow
119.4707,1,1,1,1,1,1,1,1,0.9896967,-30.19348,-115.5924,UpArrow
119.2218,1,1,1,1,1,1,1,1,0.9896967,-30.1229,-115.3536,UpArrow
119.2218,1,1,1,1,1,1,1,1,0.9896967,-30.1229,-115.3536,UpArrow
119.0784,1,1,1,1,1,1,1,1,0.9896967,-30.08223,-115.216,UpArrow
119.0784,1,1,1,1,1,1,1,1,0.9896967,-30.08223,-115.216,UpArrow
